RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3122,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2999,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4020,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2991,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2889,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3805,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3598,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3437,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3106,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3326,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
5222,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,600606925db9c892b3939202,"07/06/2022, 17:41:33"
6693,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
5154,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
39482,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3125,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3654,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
6944,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4108,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3222,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3602,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3411,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2780,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
4678,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3176,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
5319,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2823,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3468,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2117,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2937,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2231,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2890,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
3268,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2348,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2065,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
1805,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2449,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,600606925db9c892b3939202,"07/06/2022, 17:41:33"
7667,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2539,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2192,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2483,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
1950,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
2020,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,600606925db9c892b3939202,"07/06/2022, 17:41:33"
