RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2187,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1526,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2150,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1427,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1517,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2907,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1464,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1675,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1584,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1445,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1385,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
3289,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1411,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1768,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1431,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2944,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1779,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1433,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2706,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2307,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1592,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1940,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
3671,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
