RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1229,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1940,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2260,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1384,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1401,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1645,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1655,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
3886,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2347,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1270,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
3742,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2917,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2013,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1251,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1695,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1340,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2015,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1324,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1547,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1389,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1334,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1831,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2772,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
3164,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1522,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1473,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
1644,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
2070,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
file,isFamiliar,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
P_F_Theresa_May.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
E_F_Sarah_Millican.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
E_M_Peter_Kay.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
E_M_Simon_Pegg.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
E_F_Julie_Walters.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
E_M_Russell_Howard.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
P_M_Michael_Gove.png,0,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
P_M_Gordon_Brown.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
P_M_Sajid_Javid.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
P_M_david_camer.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
E_F_Jennifer_Saunders.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
P_M_Tony_Blair.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
P_M_keir_starmer.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
P_M_nigel_farage.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
P_F_nicola_sturge.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
E_M_Ewan_McGregor.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
P_M_jeremy_corbyn.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
E_F_Dawn_Roma_French.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
E_M_Jimmy_Carr.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
E_M_Michael_McIntyr.png,1,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
age: 28,gender: Female,handedness: right,5ac92684fa3b4e0001739586,"07/06/2022, 12:58:28"
