RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
7383,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
4062,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3623,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3638,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2053,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1647,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
5534,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
3071,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,1,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
1789,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
4598,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2262,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2240,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
4000,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2301,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
2494,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,1,5d02695334bace00012a468c,"06/08/2022, 13:26:31"
