RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3533,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
4983,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2032,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2987,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
19704,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3955,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3591,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3447,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2921,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2285,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3943,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
6289,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
61328,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
1899,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
6618,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3590,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
5265,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3933,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2645,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3055,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3236,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
1915,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2081,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2563,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2608,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3041,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3290,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
1835,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2078,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
4107,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2986,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3389,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
1806,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3880,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3063,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2698,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
4210,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
4742,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
1766,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2061,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2696,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
5092,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
1591,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2174,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2773,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
1972,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
1688,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2209,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2352,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2571,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2127,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2660,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
1900,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2652,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3029,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2540,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2759,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
1826,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2012,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
1887,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3183,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
2290,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
1334,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
3348,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
5918,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
file,isFamiliar,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
Politics_lapid.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
Entertainment_shimi.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
Entertainment_yanai.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
Entertainment_shani.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
Politics_zamir.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
Entertainment_HassonShaher.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
Politics_benet.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
E_katorza2-250x341.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
Entertainment_Ivri2.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
Politics_yehimovitz.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
Entertainment_ornaBanai.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
Politics_smootch.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
Politics_michaeliM.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
Entertainment_rita.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
Entertainment_har_lev.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
Politics_shaked.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
Entertainment_mushonov.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
Politics_liberman2.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
E_guri2-250x310.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
Politics_peretz.jpg,1,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
age: 29,gender: M,handedness: left,5e65051f13d10e277db1d3a5,"06/07/2022, 08:19:00"
