RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
12091,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3146,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4090,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3911,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4445,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4047,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
6050,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
5876,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3121,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4956,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3068,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
5209,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3815,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
5697,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3851,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3029,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3636,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
2689,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4775,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3965,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3743,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3485,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3744,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4534,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4638,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
2814,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
2660,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3449,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4578,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
6628,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4434,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3183,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3811,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3831,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3516,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4475,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3126,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4229,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3566,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
2377,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
2583,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3211,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4776,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
6153,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
2777,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
2737,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3525,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
2810,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4921,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
3452,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
4362,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
5080,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
file,isFamiliar,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
E_guri2-250x310.jpg,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
Entertainment_Ivri2.jpg,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
Politics_yehimovitz.jpg,0,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
Politics_liberman2.jpg,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
Entertainment_shani.jpg,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
Politics_benet.jpg,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
Entertainment_rita.jpg,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
Politics_zamir.jpg,0,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
Entertainment_shimi.jpg,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
Politics_smootch.jpg,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
Entertainment_yanai.jpg,0,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
E_katorza2-250x341.jpg,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
Entertainment_ornaBanai.jpg,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
Politics_michaeliM.jpg,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
Politics_lapid.jpg,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
Entertainment_har_lev.jpg,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
Politics_shaked.jpg,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
Entertainment_mushonov.jpg,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
Entertainment_HassonShaher.jpg,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
Politics_peretz.jpg,1,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
age: 23,gender: F,handedness: left,6110f325c0a2c8381549eaf8,"06/07/2022, 09:03:28"
