RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7002,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
12893,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
3291,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4161,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
5862,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4022,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
9481,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4912,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
8012,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7092,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
5851,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
6882,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
20702,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
11162,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
25902,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4712,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
9421,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
12092,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4082,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
3832,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
5802,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
5072,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
16261,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
3772,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
5004,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
15400,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
6476,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
5130,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
3692,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
6455,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
6651,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
10687,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
5462,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4461,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
8141,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
3700,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
6746,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
9884,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
5271,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4457,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
8086,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
6891,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
6836,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7691,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4230,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
5660,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
5387,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
13173,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7062,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
5852,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
21642,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
3543,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
28423,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7542,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4432,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
57762,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4752,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
32192,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
11902,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4481,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
9395,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7312,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
5004,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
5727,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
12573,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
23152,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
56151,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
6411,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
3892,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7282,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
28202,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
18141,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
5142,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4241,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7852,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4772,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
3001,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
3683,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7172,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
9742,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
2811,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
3021,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
3822,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
89218,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4720,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4052,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
7084,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4011,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
3602,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4613,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
9102,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,1,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
4571,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
36648,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
9871,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
8442,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
6362,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
3373,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
6982,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
3362,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c0d83e9b24b5c00017950db,"06/08/2022, 17:28:42"
