RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2938,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2347,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3728,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
9196,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2151,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3373,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2518,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3741,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
1685,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
1840,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
9146,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2034,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
14851,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3929,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
10099,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2021,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
1574,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3385,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
1679,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
1438,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
3514,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
2364,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
4152,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,611bca8959a5fa547526e6f3,"06/08/2022, 10:42:14"
