RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
3660,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
3000,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
3171,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2087,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2407,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2198,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2896,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
3509,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
3022,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2240,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2559,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2233,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
1931,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2117,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2058,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
1910,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
1911,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2265,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
1955,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
3449,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2656,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
2370,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb867b2efe4a55abcf54f1f,"06/08/2022, 15:54:43"
