RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2795,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
4274,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1874,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3064,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2955,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2503,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3218,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
4879,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1649,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1733,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1683,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1793,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1855,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1636,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1269,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1370,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
3160,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2311,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
5361,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1524,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1511,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1835,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
2469,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
1831,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61128d38f512d6800205d192,"06/08/2022, 14:25:09"
