RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
4464,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3271,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2510,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
7515,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2640,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
4790,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
4400,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3568,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2298,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2899,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2553,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
6067,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2214,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3117,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2290,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3253,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2707,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
6610,Entertainment_shimi.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2968,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
5563,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3417,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3907,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
4615,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3178,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2278,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
4194,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
1995,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2249,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
19884,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
4341,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
30436,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
7318,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
1982,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2021,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
1999,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2344,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2185,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
7479,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3276,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2384,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
4449,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3782,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2154,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
5022,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2010,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2615,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
1576,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2556,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2437,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2878,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2243,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
1590,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3028,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2660,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2833,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2621,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
1702,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3483,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
5676,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2484,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2786,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2356,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2642,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3612,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2847,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2873,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2300,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2948,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
1789,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2012,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3211,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2617,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
1878,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3444,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
1701,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3937,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2453,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3121,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3000,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2490,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
4615,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2435,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2261,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3071,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2153,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2449,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
6250,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3048,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3860,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3755,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2218,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2012,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3180,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2255,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2320,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3005,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2901,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3396,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
5167,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
5159,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3966,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2724,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3504,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2875,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
4075,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
6562,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
1630,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
4738,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
1891,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3720,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
1549,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3938,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3657,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
4139,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
3857,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
1978,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
4425,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2206,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2137,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
1813,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2167,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2847,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
1863,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2669,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2621,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2296,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2765,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
2093,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
4385,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ea60503456e580cde43cdba,"06/07/2022, 08:04:29"
