RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
5651,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4420,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3744,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3052,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4358,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
9295,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3264,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
6246,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3858,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4045,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4883,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4613,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
10550,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
14436,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4572,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4545,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
8006,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4092,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3176,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3618,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
29191,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4287,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
29274,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4103,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
2903,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3045,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
8741,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3050,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
5013,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3074,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3642,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
6106,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3295,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
7464,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
8478,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
3802,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
2976,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
2700,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
46542,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4235,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
2985,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4497,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
10111,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
4435,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5f8475cb2ccf410cd477c1ec,"06/07/2022, 09:07:27"
