RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3480,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
2812,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
6349,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
2348,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
6265,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3785,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3257,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4086,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
5958,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4171,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
5931,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3763,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
2592,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
20298,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4600,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
3474,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
4769,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
5221,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
5211,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
6214,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
file,isFamiliar,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
Politics_shaked.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
Entertainment_ornaBanai.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
Entertainment_shani.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
Politics_zamir.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
Politics_yehimovitz.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
Politics_smootch.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
Politics_peretz.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
Entertainment_HassonShaher.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
Entertainment_Ivri2.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
Entertainment_shimi.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
Entertainment_mushonov.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
E_katorza2-250x341.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
Entertainment_yanai.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
Politics_liberman2.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
Politics_benet.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
E_guri2-250x310.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
Politics_michaeliM.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
Entertainment_rita.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
Entertainment_har_lev.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
Politics_lapid.jpg,1,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
age: 35,gender: M,handedness: right,5d1d8aaf32ab4a00013fadb7,"06/08/2022, 10:06:35"
