RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3186,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3567,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
5038,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
5427,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
6290,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4439,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2553,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
5868,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4533,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
5319,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3764,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
6672,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2591,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
11374,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2244,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
8370,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
5857,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
1949,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3238,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
1875,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3398,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3189,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4676,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3693,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3622,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3447,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4538,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2810,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
5513,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
6062,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3154,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2592,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4999,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,1,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4095,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3899,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2670,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4263,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2189,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3601,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3306,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3006,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4477,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
5104,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3640,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4336,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
3261,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4750,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
4060,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
2637,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f75c5adc6c6f326af675259,"06/12/2022, 07:53:06"
