RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2483,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2457,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2120,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2004,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4540,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
2256,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
3808,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
5158,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
21568,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
12220,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
12263,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
4886,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
8545,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
8816,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6105578a719aba1110ca5471,"06/08/2022, 15:01:41"
