RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3922,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2613,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2391,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3018,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3282,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2420,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3092,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3509,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2070,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2190,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2036,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3145,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2236,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2669,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
3836,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
2075,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fb6822a6593ca03708b39bc,"06/07/2022, 08:38:43"
