RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
2757,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3553,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3716,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3407,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
2444,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4556,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3785,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
5127,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3643,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3158,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3269,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
5904,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4080,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4037,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3657,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3009,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4418,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3920,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3425,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
5873,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4902,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3384,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4136,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
3029,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
2630,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
4843,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
file,isFamiliar,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
Entertainment_shani.jpg,1,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
Politics_zamir.jpg,0,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
Entertainment_mushonov.jpg,1,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
Entertainment_Ivri2.jpg,1,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
Politics_liberman2.jpg,1,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
Entertainment_HassonShaher.jpg,1,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
Politics_lapid.jpg,1,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
Entertainment_ornaBanai.jpg,0,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
Politics_smootch.jpg,1,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
Politics_yehimovitz.jpg,1,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
E_guri2-250x310.jpg,1,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
Politics_shaked.jpg,1,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
Entertainment_yanai.jpg,0,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
Politics_benet.jpg,1,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
Entertainment_shimi.jpg,1,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
Politics_michaeliM.jpg,1,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
E_katorza2-250x341.jpg,1,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
Politics_peretz.jpg,1,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
Entertainment_har_lev.jpg,1,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
Entertainment_rita.jpg,0,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
age: 24,gender: M,handedness: right,615b223f6a8f4a125e58fd0c,"06/08/2022, 10:17:23"
