RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
4534,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
4530,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2845,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3074,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3321,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2755,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
4872,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
4896,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1714,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2735,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
4318,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2439,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2654,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2236,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
4150,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3254,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1878,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3165,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2161,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3683,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2146,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2643,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1979,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2205,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2260,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2057,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2463,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3051,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2566,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2757,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2001,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2283,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2001,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2227,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2171,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2522,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1807,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1956,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2114,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1709,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2316,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1922,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1862,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1810,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2881,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1865,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2192,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1686,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2237,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3095,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1673,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2813,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1978,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2283,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1796,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2147,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1787,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2012,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2000,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2621,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2373,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3422,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3479,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2271,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1628,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1493,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3039,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1763,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1741,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1661,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
9475,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3963,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
6930,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3624,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
6806,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
4030,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
8927,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
4594,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2192,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2350,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2462,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3014,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2812,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1684,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1446,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2679,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1626,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
8069,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2914,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3410,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1515,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2721,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2079,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1852,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1695,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1977,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2135,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3984,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2553,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2180,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3839,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1819,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
8542,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2361,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2473,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
4458,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2970,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3702,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
49625,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
5632,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2597,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1933,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2315,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2112,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3319,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2135,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
4461,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
5088,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2157,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2698,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
3905,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1683,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2056,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
1965,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
4620,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2324,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2293,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
2993,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,603bb3cfd1aca681ef60b8cd,"07/06/2022, 18:55:17"
