RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3812,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2218,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
6279,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2304,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3067,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2004,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3190,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3814,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2344,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
7380,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
