RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3898,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4620,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3939,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4560,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3067,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
6615,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2378,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3678,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4623,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4631,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2881,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
6688,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3562,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
5106,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4177,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2562,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2735,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2900,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
7091,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3365,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3514,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2890,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3275,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2601,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4772,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2640,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3667,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2369,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3558,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3836,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3219,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2440,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4005,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4765,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3620,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2543,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4630,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2862,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4019,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
5315,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3122,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2416,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4436,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3680,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3507,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
5369,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3668,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3835,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4777,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4912,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2392,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2394,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2715,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2881,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3034,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3602,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
7961,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
7114,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
6717,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2923,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2345,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2400,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2889,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3613,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2612,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2623,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2513,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
5128,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2715,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3501,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2724,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3299,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3651,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2686,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
6565,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2888,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3256,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3188,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3687,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2500,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3106,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3581,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
5425,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3316,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3435,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2385,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4059,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2249,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3729,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3546,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3919,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3677,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2929,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3453,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4343,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
6732,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3763,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2358,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2577,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2357,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4560,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
5630,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4716,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2488,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4327,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
4729,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2569,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3622,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3148,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2736,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2617,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2730,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
2216,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
3049,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22f8f46e850f000a7f7a0e,"07/06/2022, 19:01:16"
