RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2264,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
1932,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2015,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2548,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2582,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3262,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2697,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
1861,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3644,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2778,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2182,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3217,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3132,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3080,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3344,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2294,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2662,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3076,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
6294,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2194,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2881,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2849,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2381,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2348,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2365,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2027,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2695,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
1927,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2195,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3594,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
34682,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3332,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3927,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2149,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3061,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3310,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3644,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
3461,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2581,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
4965,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
7511,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
4328,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
11111,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
1794,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
2577,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e1f321074dfbe028c2fbb18,"07/06/2022, 18:55:02"
