RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3181,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
2622,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3262,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4011,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
2603,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
6221,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4852,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3602,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
12562,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3401,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
17231,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4342,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4803,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
6642,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
5972,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
2616,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3681,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3911,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
7951,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3532,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4811,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
7860,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
6462,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4691,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
19092,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4091,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4531,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3021,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4091,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
5181,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
6492,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
2811,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
2541,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3511,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4141,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
5122,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
2961,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3591,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
7231,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3221,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3991,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4612,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4891,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
2662,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
2871,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
4001,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
3631,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
2792,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
10672,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
6974,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
20541,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e52d7229dab3b2f03ff0837,"07/06/2022, 19:04:56"
