RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
8868,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
5698,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2728,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
6810,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
5593,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
7450,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
6425,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
6464,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
2750,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
3588,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,62aa310e13da338902eaf38e,"07/06/2022, 18:56:06"
