RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
8202,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
13733,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
65424,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1903,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2573,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2040,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
3591,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2119,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
4392,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2674,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2253,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
2103,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
1936,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62c5c6430467d6c7b9147667,"07/06/2022, 18:32:09"
