RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3308,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3298,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3970,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4591,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
2778,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
10530,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
26381,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
16022,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4343,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
17420,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
5002,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
8803,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
11772,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
2594,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
37177,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
6804,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
2636,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
5211,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
51284,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3345,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
12699,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4916,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
2661,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4572,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
31990,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
3425,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
5923,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4312,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4579,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
4123,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,594f2bc25c1e0700017cb0b9,"07/06/2022, 19:12:56"
