RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1667,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2450,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1565,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1251,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1631,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1723,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1591,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2400,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
3040,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1710,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1230,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1883,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1082,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1346,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1333,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1252,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1470,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1199,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2221,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1688,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
3589,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2263,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2300,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
1620,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
2315,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5fefbee02c2ee6e7ad30b24d,"07/06/2022, 19:04:38"
