RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
6689,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3657,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3409,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
5155,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2788,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4039,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
7428,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
5356,E_F_Sarah_Millican(1).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
5283,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4624,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3388,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4533,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2706,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2671,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2906,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2566,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4275,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3257,E_F_Julie_Walters(20).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2273,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4256,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4544,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2037,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4224,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
5424,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
5825,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3898,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
1818,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3445,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2598,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
1945,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2660,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
1598,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2201,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2673,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2211,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
6361,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2889,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3050,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3298,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2027,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4837,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3661,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3529,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
6183,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
5721,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4463,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4737,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2933,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3932,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
5547,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2041,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4670,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4809,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3660,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2560,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2905,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2224,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4346,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2921,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4327,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4153,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4748,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
5737,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3842,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3165,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4337,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
7217,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
1941,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
1937,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
7188,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3413,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4185,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3592,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3000,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3545,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
6111,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4341,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3492,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
5177,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3714,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4696,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
8080,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4027,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3027,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
6232,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4030,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3125,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4113,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3664,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3760,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3182,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2519,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
4852,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3719,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2865,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
15338,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
9248,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3228,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2493,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2207,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
14476,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3505,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2901,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
3942,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2293,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
2177,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
8546,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
13236,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66849f0e3ff20016f36599,"10/27/2022, 13:42:44"
