RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
1748,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2521,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2018,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2094,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2041,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2684,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2003,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2098,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3291,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2456,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2768,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
4772,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
1773,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3308,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
1731,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2914,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2068,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
4649,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3797,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2450,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2724,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2657,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2444,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2302,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2561,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2806,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
5093,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
4447,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2977,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2728,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2292,E_F_Sarah_Millican(1).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
6999,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
5121,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
4100,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3311,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2887,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
8342,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3757,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
5078,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
