RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1958,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2452,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
4652,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2568,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1837,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2668,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1198,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1935,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2227,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
2039,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
3003,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
5559,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1763,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
3208,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
6887,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
3293,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1850,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1744,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1982,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1928,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
1133,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
3969,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da21ef67284fa0010e1e11e,"10/27/2022, 13:55:19"
