RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2354,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
5675,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
4454,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
3695,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2645,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2633,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1823,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1710,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2413,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1733,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1575,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1959,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
5599,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1888,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
5459,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1653,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2803,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1578,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
7937,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2073,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
5942,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1653,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2841,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2064,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1498,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
3212,E_M_Jimmy_Carr(5).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1459,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1478,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1803,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1848,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
3332,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
5469,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1693,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1904,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
4778,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1726,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1772,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1693,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
3135,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1468,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2021,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1493,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2412,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1621,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2652,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
