RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3939,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2882,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
4523,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3756,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1899,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1449,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2337,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
6752,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2029,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1645,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2149,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2554,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3963,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2152,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
6454,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2031,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1747,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2076,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1832,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1999,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
5455,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2321,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
4619,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2785,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
7293,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1863,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1542,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2217,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1859,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2998,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2156,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1861,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3127,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2370,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2082,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1849,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1566,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3857,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3151,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
6495,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
4837,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2271,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2071,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3850,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3755,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1541,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1998,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1347,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1415,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1234,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2029,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
7081,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3211,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
