RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
3584,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
2679,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
3934,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
3662,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
3103,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
9124,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
10738,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
8352,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
2295,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
3067,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ea98f445ef6ee093f4f05ec,"10/27/2022, 13:16:11"
