RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2735,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2956,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3251,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2939,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2564,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2307,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3423,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3018,P_F_Theresa_May(3).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2602,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2999,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2247,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2486,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2828,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3094,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2015,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2188,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2561,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2107,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3173,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2578,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2805,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2173,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2485,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2423,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2746,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2363,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2064,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2475,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2906,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2010,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2220,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2265,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2125,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2654,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3376,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3064,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2416,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2610,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
5511,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2579,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2214,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3487,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
4024,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3185,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
4954,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2861,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
file,isFamiliar,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
E_F_Julie_Walters(20).png,0,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
E_M_Russell_Howard(10).png,0,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
E_F_Jennifer_Saunders.png,0,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
E_F_Sarah_Millican(1).png,0,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
P_M_keir_starmer(6).png,0,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
E_M_Ewan_McGregor(3).png,0,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
P_M_jeremy_corbyn(2).png,1,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
P_F_nicola_sturge(10).png,1,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
E_M_Simon_Pegg(8).png,0,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
E_M_Jimmy_Carr(5).png,0,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
P_F_Theresa_May(3).png,1,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
P_M_nigel_farage(5).png,0,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
P_M_Sajid_Javid(4).png,0,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
P_M_Gordon_Brown(19).png,0,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
P_M_david_camer(14).png,1,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
E_M_Michael_McIntyr(8).png,0,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
E_F_Dawn_Roma(4).png,0,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
P_M_Tony_Blair.png,0,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
E_M_Peter_Kay(3).png,0,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
P_M_Michael_Gove(9).png,0,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
age: 25,gender: Female,handedness: left,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
