RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2120,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2915,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1414,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1919,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
4048,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
4501,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1786,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2405,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2231,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
3093,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2685,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
5198,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
2076,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1306,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1505,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
4195,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1721,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1773,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
3528,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1391,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1468,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1841,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1677,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1817,E_M_Ewan_McGregor(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
4155,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
1619,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6147c45e2fd30e98355c1e52,"10/27/2022, 13:09:02"
