RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
1936,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2715,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
4537,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
1784,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2546,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2443,E_M_Jimmy_Carr(5).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2316,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
5569,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
1592,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
4349,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
4089,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2548,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2510,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2526,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
4068,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2243,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
4354,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
6055,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2141,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
3257,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
1844,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2334,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
