RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1276,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2134,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2171,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
3683,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1761,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2309,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2939,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2827,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1853,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1924,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
3474,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2316,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2023,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1534,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2769,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1899,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2819,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1463,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1596,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2059,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1507,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1550,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
5318,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
4277,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
4705,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1685,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1935,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1899,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1690,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2218,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1931,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
3182,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1717,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2025,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
3231,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
5970,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
4491,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1924,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1651,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1607,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1683,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1723,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2426,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2427,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1548,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1860,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1671,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2419,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1459,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1755,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2826,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1740,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2070,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2498,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2415,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1367,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1139,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2106,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1819,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1691,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2989,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
5963,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
4179,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
4203,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
5931,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2533,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2362,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2931,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2292,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1508,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2147,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
2650,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1796,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
1331,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
5294,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60990c861b856e3f6988306e,"10/27/2022, 13:16:31"
