RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2012,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2229,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2233,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2030,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2949,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
4335,E_M_Ewan_McGregor(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3219,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
1795,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2917,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5432,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2353,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5365,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2806,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2284,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3536,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5032,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
6226,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5920,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5594,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3987,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5952,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
6144,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5454,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5154,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5809,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2883,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
4659,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2543,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2545,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2300,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2353,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
25985,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
6303,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2405,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
4288,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
1899,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2599,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
4222,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2328,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2426,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2195,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2548,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3740,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2921,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
4593,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2307,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2617,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2615,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2501,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2409,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2831,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3302,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2172,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2850,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2894,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2413,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2463,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2160,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3121,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
1993,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
1833,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5846,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
1734,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2760,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
1984,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
8385,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
1832,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
1472,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
1623,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2224,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
1786,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2186,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
1903,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2297,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2344,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
1963,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
4732,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
1779,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2106,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2028,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2130,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3798,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2981,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2767,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
3672,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
6860,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2081,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2191,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
1736,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
1759,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
12426,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
5864,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2320,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2234,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2033,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
4869,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
1666,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
2449,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5eaa9250557519012c296463,"10/27/2022, 13:27:56"
