RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
5643,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3447,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2159,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3178,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2968,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
3159,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1767,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2086,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1939,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2023,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1934,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1975,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1902,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1822,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
