RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3059,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2418,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2352,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3568,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2419,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2930,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
5960,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4009,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4944,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4529,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3240,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
5418,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4561,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3004,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2415,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2721,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2339,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2792,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
10683,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2601,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
1968,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3416,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4605,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
5362,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
45019,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3749,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
1247,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
