RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1670,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3574,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
8671,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
5086,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
4854,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
4415,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2158,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2726,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3204,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1839,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
5639,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2366,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2694,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3430,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1727,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1974,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1494,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2126,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2605,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2015,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2023,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1733,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3118,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1903,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3367,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2247,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3935,P_F_Theresa_May(3).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1717,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
5822,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3279,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
4694,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1854,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3022,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1855,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
3406,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2494,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
2151,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1663,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
1879,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60fd1072c41257e1b62d43ef,"10/27/2022, 13:14:38"
