RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
14775,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2837,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5958,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
15000,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2378,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3507,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4666,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3598,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2484,P_F_Theresa_May(3).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
7151,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
7758,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2979,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
11760,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2763,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
7175,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2058,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2027,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
1933,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2565,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5590,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3014,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4641,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
7060,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2811,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
7340,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
16121,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
1965,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
8270,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2529,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2576,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3356,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
6138,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
6135,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
10606,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2599,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
8911,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
8701,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3008,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
10113,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
53992,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3323,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4922,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3245,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2487,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2189,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2499,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2352,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3014,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2436,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3494,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3191,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2836,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2419,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4447,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3554,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2455,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
12773,E_M_Jimmy_Carr(5).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3012,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4678,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5458,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3497,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3290,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3716,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5248,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
9965,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
8636,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
7246,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2907,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
6709,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2654,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3572,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5069,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2830,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2182,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4093,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2281,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3564,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5869,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3178,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3879,E_F_Sarah_Millican(1).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4412,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3592,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3017,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3928,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3041,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
7157,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4114,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
9852,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3335,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
8830,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
29021,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
9379,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4825,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3551,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3323,E_F_Julie_Walters(20).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3256,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3303,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
8397,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
7740,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3943,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3742,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4903,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5393,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
13580,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5022,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2261,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5251,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2994,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
12971,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5519,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
17919,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3588,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3343,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4492,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4529,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3454,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3646,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
2757,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
4078,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
3229,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
5405,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5feb6c7bb289af7474291a40,"10/27/2022, 13:21:22"
