RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
7082,E_F_Sarah_Millican(1).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
6584,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3009,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2396,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2181,E_M_Ewan_McGregor(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2853,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2553,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2570,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3057,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3677,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
4488,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
1888,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3200,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2735,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2463,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
2549,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
3367,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,608abd514dc55c9ffb6ede08,"10/27/2022, 13:32:46"
