"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness"
"2631","E_F_Kate_Winslet.jpg","P_F_hillary_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",3,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_Kate_Winslet.jpg P_F_hillary_clinton.jpg",-1.21152011065061,"31","Female","right"
"2779","E_M_nicolas_cage.jpg","P_M_bill_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",4,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_M_nicolas_cage.jpg P_M_bill_clinton.jpg",-0.544306136669115,"31","Female","right"
"12617","E_F_jennifer_aniston.jpg","P_M_david_cameron.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_jennifer_aniston.jpg P_M_david_cameron.jpg",0.790121811293876,"31","Female","right"
"9840","E_M_michael_caine.jpg","E_M_robert_de_niro.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M",2,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_M_michael_caine.jpg E_M_robert_de_niro.jpg",-1.8787340846321,"31","Female","right"
"2393","E_F_keira_knightley.jpg","P_M_donald_trump.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_keira_knightley.jpg P_M_donald_trump.jpg",0.790121811293876,"31","Female","right"
"2848","P_M_george_Wbush.jpg","P_M_Tony_Blair.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",2,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","P_M_george_Wbush.jpg P_M_Tony_Blair.jpg",-1.8787340846321,"31","Female","right"
"2517","P_F_nicola_sturgeon.jpg","P_M_donald_trump.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","P_F_nicola_sturgeon.jpg P_M_donald_trump.jpg",0.790121811293876,"31","Female","right"
"36736","E_F_jennifer_aniston.jpg","E_M_robert_de_niro.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_jennifer_aniston.jpg E_M_robert_de_niro.jpg",0.790121811293876,"31","Female","right"
"2517","E_M_nicolas_cage.jpg","P_F_hillary_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_M_nicolas_cage.jpg P_F_hillary_clinton.jpg",0.790121811293876,"31","Female","right"
"2577","P_M_bill_clinton.jpg","P_M_donald_trump.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",3,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","P_M_bill_clinton.jpg P_M_donald_trump.jpg",-1.21152011065061,"31","Female","right"
