RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2465,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2484,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1813,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2987,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2593,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2682,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2743,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2592,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2033,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2066,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1868,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
3015,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2065,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2367,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2713,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2340,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
3475,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1786,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2021,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1978,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2663,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
3061,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2470,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
4400,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
6057,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
3708,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2193,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2054,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
4961,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2056,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2055,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2869,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2162,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
4227,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
5769,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2766,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2077,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2153,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2169,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1856,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2744,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
6001,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2839,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
5962,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2472,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1585,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1582,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1766,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2237,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1779,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2036,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
3140,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2471,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1803,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1924,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
3686,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
7877,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
3027,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2062,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2479,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
3281,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2238,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2106,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
4196,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1808,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2546,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2654,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2137,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
3784,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2460,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1741,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1864,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1636,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
4135,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2581,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
5099,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
5850,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
8526,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
3379,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1842,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1943,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2505,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
3845,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
5342,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2637,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2667,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2889,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1940,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2727,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2194,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
3018,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1972,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2234,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2383,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2101,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1909,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2315,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
3765,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2859,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2275,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
3958,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
2237,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
4394,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
1829,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
3349,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
3795,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60acb27d9223b045a5175907,"06/30/2022, 14:50:56"
