RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1756,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
3034,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1866,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2412,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2526,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2026,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2025,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2030,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
3814,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1963,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1747,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1966,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
3602,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2327,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1783,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2637,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1675,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2134,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2056,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2253,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1583,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1583,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2395,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2061,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2547,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2509,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
3157,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1867,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1582,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2319,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1974,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
1599,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
3326,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
2237,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a9ebcc11eda410001368d0c,"06/30/2022, 14:47:21"
