RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2493,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2107,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2151,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2034,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
3136,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2011,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2455,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
3043,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2294,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
2381,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
1858,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60f00a1b3de9eb7951c66b53,"06/30/2022, 14:55:54"
