RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2277,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3500,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3844,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2044,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1968,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2943,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
4814,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2587,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1681,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1516,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
4584,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1826,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
4362,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
5245,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2580,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3811,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1883,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2438,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3620,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
3447,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2828,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1909,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2607,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
4067,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2839,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1603,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2436,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1778,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
1648,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
2461,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f4bd540586c807baf3f17d3,"06/30/2022, 14:54:37"
