RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2723,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2337,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
3693,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
1842,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
1972,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2222,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
3316,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2356,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2812,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
4239,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2609,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
3385,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2899,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2361,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2269,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2143,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2737,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2303,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
2221,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
1874,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
4717,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
3813,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
3152,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6095cb4f3d06266bed0cd913,"06/30/2022, 14:49:37"
