RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2126,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1515,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1994,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
3116,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1513,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1582,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2488,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2414,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1791,E_M_Ewan_McGregor.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1416,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1876,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1573,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2637,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1426,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2757,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1301,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1715,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1967,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1496,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2170,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1484,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1643,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2270,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1413,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1712,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1438,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1238,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1859,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1485,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2393,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1731,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1609,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1822,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2498,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1849,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1674,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1552,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2030,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1318,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1981,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1969,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1980,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1751,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1455,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
3121,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2999,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1346,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2689,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1623,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2684,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1546,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2259,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2337,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2220,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2887,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1692,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1759,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2109,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1950,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1441,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2612,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
3224,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2876,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2423,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1355,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1825,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1594,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1263,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2453,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2229,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1412,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1759,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2049,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1409,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2656,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1451,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1555,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1681,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2407,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2050,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1509,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2797,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1435,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1921,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2807,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
4229,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1914,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2477,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1526,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1782,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2341,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1406,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
3762,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
3386,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1600,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1706,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1500,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1214,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1466,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1746,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1200,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1506,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2614,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1749,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1707,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2845,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1584,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2173,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1321,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2181,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1366,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2403,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2063,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2926,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2338,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2716,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
4670,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1379,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1350,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1486,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2851,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1293,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1287,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2174,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1126,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
2438,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
1628,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f49233fa38e6b0d20395c3b,"06/30/2022, 14:52:41"
