RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
31093,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
11609,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
4299,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
5303,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
6211,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
4667,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
5532,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
6789,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
5662,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
6459,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
8706,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
6450,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
7772,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
7588,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
5926,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
16055,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
7245,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
5301,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
4974,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
5548,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
4478,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
7484,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
5523,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
5861,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
22606,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
3977,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cae3d6b6f6415001d3ac9a6,"06/30/2022, 15:15:23"
