RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1674,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
3394,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2282,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1667,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2075,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1989,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1998,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1764,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2634,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1670,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1698,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2215,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1740,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
4237,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2132,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2034,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2309,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
5329,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
4015,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
3871,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
3586,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2482,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2129,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
3627,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
5034,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2002,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2603,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
3827,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2025,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2171,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1700,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1772,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1959,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
3498,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2981,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
3003,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1599,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2057,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2268,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2069,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2191,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2059,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1848,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2008,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1770,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1833,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2482,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1805,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2076,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1901,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2751,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1745,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2077,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1415,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1679,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
3018,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1758,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1861,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1827,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
2358,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
1475,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b76febccee87f0001f989ac,"06/30/2022, 14:51:59"
