RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2015,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2769,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3249,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
4170,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2160,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
23099,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2139,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2355,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2160,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2342,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2662,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2081,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2465,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2248,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
1776,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3095,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2589,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2914,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3459,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
1667,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2278,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
5141,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3342,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2473,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3226,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3256,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
1994,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
22329,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
5198,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
4321,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2392,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2908,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2870,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3471,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
4502,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2256,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2871,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3488,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3053,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2334,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3335,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2865,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
9603,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2625,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3299,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2916,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3155,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
45542,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3096,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2349,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3262,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3030,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3574,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2813,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2720,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
4554,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3104,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2856,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3466,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2624,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3820,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2509,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3321,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2937,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
5794,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
5112,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
4329,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3176,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2777,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3016,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3611,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
37276,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3003,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2436,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2763,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2813,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2871,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2628,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
3661,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2516,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2726,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
2524,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608ef46bbc5de958af2d6183,"06/30/2022, 15:10:03"
