RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2040,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2064,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2216,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2418,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2928,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2164,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2857,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
3060,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1938,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1328,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1012,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1921,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1202,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1455,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2075,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1819,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
5387,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1905,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1958,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2912,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
3202,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2276,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2842,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2975,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2015,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1979,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2566,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
3299,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1961,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2264,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2796,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2562,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
4170,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1881,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1695,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
3004,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
3624,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2280,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
3699,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
4571,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
4374,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1733,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2133,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1868,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
4057,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1929,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2497,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2459,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2711,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2541,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
3492,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2091,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1865,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1391,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2819,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2896,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2679,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2499,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
3446,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
3112,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2341,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
3453,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1466,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2374,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1389,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1515,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2732,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1904,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1666,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1631,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1971,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1915,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2999,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1947,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2858,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2467,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
3482,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2577,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2237,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1459,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1295,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1876,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1520,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2666,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2199,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1257,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2232,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2484,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1592,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
4166,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1587,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1355,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1313,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1930,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2480,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2291,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2861,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1350,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1522,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2530,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2869,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2155,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1404,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2252,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1255,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1867,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1265,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1815,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2100,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1295,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2413,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2585,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1812,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1881,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1154,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1210,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1131,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1311,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1063,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1966,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2104,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1146,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1694,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1612,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
2451,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1297,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1617,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1829,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
1875,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,55d24bb75bc5bc0005d9050d,"06/30/2022, 15:08:20"
