RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3512,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3700,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3156,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3418,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3956,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
5079,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
7072,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3488,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
5116,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
9624,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4739,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
5512,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
10653,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
10379,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
5374,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3587,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3955,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
7124,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4523,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
5287,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4107,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4023,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4670,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
6404,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
10774,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4641,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
6975,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3643,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
8789,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
6290,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
5649,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
4304,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
7721,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
10954,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
3971,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,55ef58d4b9401300137f42a1,"06/30/2022, 14:58:44"
