RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
5067,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
3342,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
3320,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
6359,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
5384,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
3468,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
2201,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
2280,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
3708,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
5565,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
7318,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
4478,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
5001,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
7230,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
3961,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
2654,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
4164,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
5059,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
3380,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
5612,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
5343,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
3702,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
4364,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
3644,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
2842,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
3023,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
