RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1418,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2125,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1663,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1529,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1322,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
5323,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2055,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1236,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1739,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1518,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2552,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1364,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
1829,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2070,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
2338,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e93641d8028056ac36b16d9,"06/30/2022, 14:49:41"
