RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2077,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
3625,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2196,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2106,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
1970,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
1820,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
1859,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2347,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
4620,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
13646,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2194,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
1849,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
2039,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e834e7dabbe02071f564087,"06/30/2022, 14:52:06"
