RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1750,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
3699,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1982,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
6105,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2496,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2242,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2092,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1986,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1644,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1510,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1523,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2502,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1986,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1589,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1801,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1402,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1686,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1743,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2489,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1686,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1547,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1507,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1602,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2644,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1944,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1486,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2190,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2328,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2262,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1511,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2425,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2154,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2047,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2246,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1951,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1511,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1960,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1809,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1191,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1231,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2739,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2571,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1714,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1623,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2644,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2670,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1770,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1802,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1486,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1516,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
5181,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
4191,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1495,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1950,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
4317,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
2165,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1566,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1231,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1551,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1351,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1558,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
1166,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
4119,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b99844206635100010e9b34,"06/30/2022, 14:49:52"
