RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
4175,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1955,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
8234,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1635,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
20621,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
12818,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
7785,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
1880,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2608,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2651,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
14694,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
4393,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2710,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
7253,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
2337,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
12599,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
4429,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
4233,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6149c3f9627672a6944a61e2,"06/30/2022, 14:49:42"
