RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
11731,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1938,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
7994,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1680,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1908,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2721,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1965,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2018,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1916,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
60405,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2634,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1628,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
48160,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2820,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
4236,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1594,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1628,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
4091,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3132,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
4525,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1735,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1891,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2010,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1923,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1608,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
5817,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3602,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2832,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1895,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1909,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3318,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1815,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3029,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3043,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1667,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3135,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1726,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3833,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2170,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2755,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1633,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3461,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2392,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1268,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
5075,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2260,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2616,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2281,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1948,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2545,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2753,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3683,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1408,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2303,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2708,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3215,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
5430,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3836,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2891,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1967,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1766,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3805,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2643,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2043,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3242,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1845,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1473,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2860,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1420,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2667,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2011,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2616,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
4759,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3824,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2287,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2032,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2610,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1858,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2523,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2901,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1911,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2416,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1248,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1805,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1590,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2627,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3644,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2221,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2255,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3161,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3560,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2230,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1755,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2776,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
3743,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1683,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2239,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1709,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1511,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2446,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1510,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1905,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1681,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1501,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2287,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1657,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1416,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1199,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1534,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1552,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1640,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2908,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1502,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1274,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1895,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1486,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1665,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2359,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
1894,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
2106,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6234784ec2f848d32be1fe78,"04/26/2022, 14:00:17"
