RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3276,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3100,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2924,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2409,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3138,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
4901,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2766,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2959,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2865,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2671,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3698,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
2845,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
3583,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
4225,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d9b6d6424a6e302ae56c844,"04/26/2022, 14:18:29"
