RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1970,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2220,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2430,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2715,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1633,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1638,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2170,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2157,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2553,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2066,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1631,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1882,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2862,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1584,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2521,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2379,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2455,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2493,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
32235,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
3157,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1868,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2518,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2141,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1588,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
21612,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
