RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1387,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2073,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2106,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1610,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1619,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1474,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1912,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1794,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1404,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1646,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1538,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2141,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1638,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1520,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
