RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2335,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1567,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2028,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1572,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1613,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1356,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1740,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1673,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1520,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1337,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2705,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1291,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1458,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2605,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2051,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1783,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1777,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1744,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
3978,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2436,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1562,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1404,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1930,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1592,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1871,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1123,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1075,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1104,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1145,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
889,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
872,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
4160,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
888,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
883,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1783,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1394,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1463,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1686,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1419,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1770,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1074,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
974,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
840,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
870,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
835,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
4665,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
966,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2905,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1593,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1213,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1796,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
3082,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1481,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1433,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1372,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1361,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1010,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1305,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1691,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
823,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
786,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2956,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
948,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1004,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2470,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
899,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
911,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
977,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1081,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1671,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1231,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2097,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1998,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2405,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1456,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2066,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1362,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1120,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1021,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1057,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
982,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
893,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
825,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
729,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
966,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
790,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
893,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
786,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
829,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
915,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
759,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
786,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
848,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
854,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
842,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
899,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
978,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
989,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
860,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
984,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
2101,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1014,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
4809,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
757,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
863,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
795,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
774,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
814,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
855,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
850,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
870,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
1222,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
743,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
739,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
782,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
705,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
781,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
713,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
686,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147654b52de484c128c2e0f,"04/26/2022, 13:42:36"
